"SERIALNO","RT","DIVISION","PUMA","REGION","ST","ADJHSG","ADJINC","WGTP","NP","TYPE","ACR","AGS","BATH","BDSP","BLD","BUS","CONP","ELEP","FS","FULP","GASP","HFL","INSP","MHP","MRGI","MRGP","MRGT","MRGX","REFR","RMSP","RNTM","RNTP","RWAT","SINK","SMP","STOV","TEL","TEN","TOIL","VACS","VALP","VEH","WATP","YBL","FES","FINCP","FPARC","GRNTP","GRPIP","HHL","HHT","HINCP","HUGCL","HUPAC","HUPAOC","HUPARC","KIT","LNGI","MULTG","MV","NOC","NPF","NPP","NR","NRC","OCPIP","PARTNER","PLM","PSF","R18","R60","R65","RESMODE","SMOCP","SMX","SRNT","SVAL","TAXP","WIF","WKEXREL","WORKSTAT","BTUEL"
3,"H",5,2500,3,13,1000000,999480,51,1,1,2,1,1,3,1,2,NA,130,2,2,3,3,220,600,NA,NA,NA,3,1,5,NA,NA,1,1,NA,1,1,2,1,NA,60000,2,2,7,NA,NA,NA,NA,NA,1,4,66000,0,4,4,4,1,1,1,5,0,NA,0,0,0,4,0,1,0,0,1,0,1,229,NA,0,0,9,NA,NA,NA,52241
43,"H",5,2000,3,13,1000000,999480,72,2,1,2,1,1,3,2,2,NA,300,2,2,2,1,700,NA,NA,NA,NA,3,1,8,NA,NA,1,1,NA,1,1,2,1,NA,250000,2,300,7,4,105300,4,NA,NA,1,1,105300,0,4,4,4,1,1,1,5,0,2,0,0,0,6,0,1,0,0,2,2,1,483,NA,0,1,24,0,9,9,102995
171,"H",5,3500,3,13,1000000,999480,69,1,1,NA,NA,1,2,6,NA,100,130,2,2,2,3,150,NA,2,760,1,1,1,4,NA,NA,1,1,NA,1,1,1,1,NA,115000,1,300,10,NA,NA,NA,NA,NA,1,6,30000,0,4,4,4,1,1,1,1,0,NA,0,0,0,41,0,1,0,0,0,0,1,1028,3,0,0,24,NA,NA,NA,44759
183,"H",5,1402,3,13,1000000,999480,114,2,1,1,NA,1,3,2,2,NA,90,2,2,30,1,0,NA,NA,NA,NA,3,1,5,NA,NA,1,1,NA,1,1,2,1,NA,9300,1,360,7,4,40900,4,NA,NA,1,1,40900,0,4,4,4,1,1,1,5,0,2,0,0,0,5,0,1,0,0,2,2,1,187,NA,0,1,10,0,9,9,34509
253,"H",5,1303,3,13,1000000,999480,223,3,1,NA,NA,1,2,6,NA,NA,110,2,2,50,1,NA,NA,NA,NA,NA,NA,1,4,2,610,1,1,NA,1,1,3,1,NA,NA,0,180,3,7,29600,2,785,32,3,3,29600,0,2,2,2,1,1,1,1,1,3,0,0,1,NA,0,1,0,1,0,0,2,NA,NA,1,0,NA,2,14,13,38460
254,"H",5,200,3,13,1000000,999480,69,2,1,1,NA,1,3,2,2,NA,250,2,2,4,1,500,NA,1,1100,1,1,1,7,NA,NA,1,1,NA,1,1,1,1,NA,180000,1,160,4,NA,NA,NA,NA,NA,1,7,80030,0,4,4,4,1,1,1,5,0,NA,0,1,0,20,0,1,0,0,1,0,1,1367,3,0,1,22,NA,NA,NA,81369
439,"H",5,3800,3,13,1000000,999480,68,1,1,2,1,1,2,2,2,NA,160,2,2,50,1,400,NA,2,460,2,1,1,6,NA,NA,1,1,NA,1,1,1,1,NA,80000,1,200,5,NA,NA,NA,NA,NA,1,4,52000,0,4,4,4,1,1,1,7,0,NA,0,0,0,18,0,1,0,0,1,0,2,770,3,0,1,14,NA,NA,NA,88988
508,"H",5,800,3,13,1000000,999480,88,3,1,1,NA,1,3,2,2,NA,110,2,2,3,3,1800,NA,2,1700,2,1,1,6,NA,NA,1,1,NA,1,1,1,1,NA,400000,2,480,8,1,111500,2,NA,NA,1,1,111500,0,2,2,2,1,1,1,4,1,3,0,0,1,24,0,1,0,1,0,0,1,2250,3,0,1,42,2,1,1,36925
636,"H",5,1305,3,13,1000000,999480,244,4,1,1,NA,1,4,2,2,NA,180,2,2,40,1,550,NA,2,1100,1,1,1,8,NA,NA,1,1,NA,1,1,1,1,NA,200000,2,630,7,1,200100,3,NA,NA,1,1,200100,0,3,3,3,1,1,1,4,2,4,0,0,2,9,0,1,0,1,0,0,2,1419,3,0,1,24,2,1,1,64958
649,"H",5,4100,3,13,1000000,999480,26,2,1,1,NA,1,3,2,2,NA,60,1,2,2,1,0,NA,NA,NA,NA,3,1,5,NA,NA,1,1,NA,1,1,2,1,NA,50000,3,180,2,8,28800,4,NA,NA,1,3,28800,0,4,4,4,1,1,1,5,0,2,0,0,0,3,0,1,0,0,1,0,2,75,NA,0,1,1,1,15,15,19970
680,"H",5,3400,3,13,1000000,999480,64,2,1,1,NA,1,2,3,2,80,70,2,2,3,3,0,NA,NA,NA,NA,3,1,7,NA,NA,1,1,NA,1,1,2,1,NA,175000,2,1000,8,1,38800,4,NA,NA,1,1,38800,0,4,4,4,1,1,1,4,0,2,0,0,0,12,0,1,0,0,1,0,1,380,NA,0,1,29,1,3,4,16309
752,"H",5,1201,3,13,1000000,999480,86,2,1,1,NA,1,4,2,2,NA,140,2,2,120,1,5400,NA,2,1800,2,1,1,10,NA,NA,1,1,1100,1,1,1,1,NA,1000000,2,1500,1,2,225000,4,NA,NA,1,1,225000,0,4,4,4,1,1,1,7,0,2,0,0,0,24,0,1,0,0,2,2,1,4443,2,0,1,66,1,6,3,53545
788,"H",5,1800,3,13,1000000,999480,97,2,1,2,1,1,4,2,2,NA,270,2,200,3,3,2300,NA,NA,NA,NA,3,1,6,NA,NA,1,1,NA,1,1,2,1,NA,450000,3,720,6,4,66650,4,NA,NA,1,1,66650,0,4,4,4,1,1,1,6,0,2,0,0,0,14,0,1,0,0,2,2,1,772,NA,0,1,39,0,9,9,86105
814,"H",5,3300,3,13,1000000,999480,92,6,1,1,NA,1,3,2,2,NA,220,2,2,3,3,NA,NA,NA,NA,NA,NA,1,5,2,260,1,1,NA,1,1,3,1,NA,NA,2,960,4,7,61000,3,560,11,1,3,61000,0,3,3,3,1,1,1,4,5,6,0,0,5,NA,0,1,0,1,0,0,2,NA,NA,1,0,NA,1,13,13,69001
831,"H",5,600,3,13,1000000,999480,84,2,1,2,1,1,4,2,2,NA,190,2,2,30,1,NA,NA,NA,NA,NA,NA,1,9,2,1600,1,1,NA,1,1,3,1,NA,NA,2,760,1,2,85200,4,1883,27,1,1,85200,0,4,4,4,1,1,1,3,0,2,0,0,0,NA,0,1,0,0,2,0,1,NA,NA,1,0,NA,2,4,3,63453
