"SERIALNO","RT","DIVISION","PUMA","REGION","ST","ADJHSG","ADJINC","WGTP","NP","TYPE","ACR","AGS","BATH","BDSP","BLD","BUS","CONP","ELEP","FS","FULP","GASP","HFL","INSP","MHP","MRGI","MRGP","MRGT","MRGX","REFR","RMSP","RNTM","RNTP","RWAT","SINK","SMP","STOV","TEL","TEN","TOIL","VACS","VALP","VEH","WATP","YBL","FES","FINCP","FPARC","GRNTP","GRPIP","HHL","HHT","HINCP","HUGCL","HUPAC","HUPAOC","HUPARC","KIT","LNGI","MULTG","MV","NOC","NPF","NPP","NR","NRC","OCPIP","PARTNER","PLM","PSF","R18","R60","R65","RESMODE","SMOCP","SMX","SRNT","SVAL","TAXP","WIF","WKEXREL","WORKSTAT","BTUNG"
3,"H",5,2500,3,13,1000000,999480,51,1,1,2,1,1,3,1,2,0,130,2,2,3,3,220,600,0,0,0,3,1,5,0,0,1,1,0,1,1,2,1,0,60000,2,2,7,0,0,0,0,0,1,4,66000,0,4,4,4,1,1,1,5,0,0,0,0,0,4,0,1,0,0,1,0,1,229,0,0,0,9,0,0,0,0
38,"H",5,1305,3,13,1000000,999480,86,4,1,1,0,1,4,2,2,0,200,2,2,30,1,450,0,2,1100,1,1,1,12,0,0,1,1,0,1,1,1,1,0,180000,2,430,7,1,70000,2,0,0,1,1,70000,0,2,2,2,1,1,1,3,2,4,0,0,2,24,0,1,0,1,0,0,1,1404,3,0,1,32,2,1,1,34338
43,"H",5,2000,3,13,1000000,999480,72,2,1,2,1,1,3,2,2,0,300,2,2,2,1,700,0,0,0,0,3,1,8,0,0,1,1,0,1,1,2,1,0,250000,2,300,7,4,105300,4,0,0,1,1,105300,0,4,4,4,1,1,1,5,0,2,0,0,0,6,0,1,0,0,2,2,1,483,0,0,1,24,0,9,9,0
101,"H",5,1107,3,13,1000000,999480,90,2,1,0,0,1,2,4,0,0,40,2,2,140,1,0,0,0,0,0,0,1,4,2,600,1,1,0,1,1,3,1,0,0,0,650,4,0,0,0,834,20,1,5,50000,0,4,4,4,1,1,1,3,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,84973
171,"H",5,3500,3,13,1000000,999480,69,1,1,0,0,1,2,6,0,100,130,2,2,2,3,150,0,2,760,1,1,1,4,0,0,1,1,0,1,1,1,1,0,115000,1,300,10,0,0,0,0,0,1,6,30000,0,4,4,4,1,1,1,1,0,0,0,0,0,41,0,1,0,0,0,0,1,1028,3,0,0,24,0,0,0,0
183,"H",5,1402,3,13,1000000,999480,114,2,1,1,0,1,3,2,2,0,90,2,2,30,1,0,0,0,0,0,3,1,5,0,0,1,1,0,1,1,2,1,0,9300,1,360,7,4,40900,4,0,0,1,1,40900,0,4,4,4,1,1,1,5,0,2,0,0,0,5,0,1,0,0,2,2,1,187,0,0,1,10,0,9,9,21935
253,"H",5,1303,3,13,1000000,999480,223,3,1,0,0,1,2,6,0,0,110,2,2,50,1,0,0,0,0,0,0,1,4,2,610,1,1,0,1,1,3,1,0,0,0,180,3,7,29600,2,785,32,3,3,29600,0,2,2,2,1,1,1,1,1,3,0,0,1,0,0,1,0,1,0,0,2,0,0,1,0,0,2,14,13,37413
254,"H",5,200,3,13,1000000,999480,69,2,1,1,0,1,3,2,2,0,250,2,2,4,1,500,0,1,1100,1,1,1,7,0,0,1,1,0,1,1,1,1,0,180000,1,160,4,0,0,0,0,0,1,7,80030,0,4,4,4,1,1,1,5,0,0,0,1,0,20,0,1,0,0,1,0,1,1367,3,0,1,22,0,0,0,3690
276,"H",5,1501,3,13,1000000,999480,51,2,1,1,0,1,3,3,2,0,110,2,2,90,1,360,0,2,1300,2,1,1,7,0,0,1,1,0,1,1,1,1,0,130000,2,100,7,4,110600,4,0,0,1,1,110600,0,4,4,4,1,1,1,4,0,2,0,0,0,18,0,1,0,0,2,2,1,1692,3,0,1,30,1,8,9,52993
439,"H",5,3800,3,13,1000000,999480,68,1,1,2,1,1,2,2,2,0,160,2,2,50,1,400,0,2,460,2,1,1,6,0,0,1,1,0,1,1,1,1,0,80000,1,200,5,0,0,0,0,0,1,4,52000,0,4,4,4,1,1,1,7,0,0,0,0,0,18,0,1,0,0,1,0,2,770,3,0,1,14,0,0,0,24805
